"Progress of species at risk towards their population and distribution objectives, Canada, May 2024",,,,,,,,,,
,,,,,,,,,,
Common name,Scientific name,Species group,Species at Risk Act status,Final recovery document date,Reassessment date,Progress report date,Recovery document objectives ,Species data,Rationale,Progress of species at risk towards their population and distribution objectives
Atlantic wolffish,Anarhichas lupus,"Fish, marine",Special Concern,2/27/2020,11/1/2012,5/8/2024,Increase the population levels and distribution in eastern Canadian waters and ensure long-term viability of the species.,"The species has been increasing in abundance and area of occupancy since the mid-1990s. While these recent increases are encouraging, the species remains at low abundance compared to historical levels. Since the last DFO assessment in 2014, population status throughout remains relatively unchanged and has shown little recovery. Overall abundance on the Scotian Shelf had decreased. ","Decreased biomass since 2009 compared to long term geometric mean. On the Scotian Shelf, abundance of immature individuals peaked in the late 1990s-early  2000s, and has declined since 2010. Abundance of mature individuals has been declining since the 1980s.",No
Aweme borer,Papaipema aweme,Insect,Endangered,2/17/2017,11/1/2020,,"Ontario: Fill knowledge gaps and maintain existing vegetation at collection sites with broad measures until better information allows specific actions, such as habitat protection and threat mitigation, to be undertaken. Canada: Attempt to fill knowledge gaps and ensure the persistence of populations where they are confirmed to exist in Canada.","Canadian range is from southern Ontario west through Manitoba and Saskatchewan. There are 13 subpopulations (12 extant, 1 presumed extirpated).",There is insufficient data available to determine population and extent of occurrence trends.,Insufficient data to determine trends
Baikal sedge,Carex sabulosa,"Vascular plant, herb",Special Concern,5/8/2012,4/1/2016,4/1/2016,Maintain at least 11 of the known populations in Yukon. Prevent a decline in the extent of occurrence.,Population trends at all but the Carcross dune systems have probably remained roughly stable or declined slightly in recent years. Numbers have probably declined more substantially at the Carcross dunes. There is an observed continued decline in the extent of occurrence and number of locations.,"The number of mature individuals, the extent of occurrence and the number of locations have declined.",No
Banded cord-moss,Entosthodon fascicularis,Moss,Special Concern,8/11/2011,5/1/2015,5/1/2015,Maintain known populations in British Columbia. ,Population trends are unknown. ,Population trends are unknown.,Insufficient data to determine trends
Banded killifish (Newfoundland population),Fundulus diaphanus,"Fish, freshwater",Special Concern,5/25/2011,5/1/2014,9/2/2022,Maintain existing population levels and distribution.,"No data are available with regard to population trends. A single population estimate, for the Indian Bay watershed site with 12 529 to 40 201 individuals, is the only abundance data available. Populations at Loch Leven and Freshwater Pond have been described as abundant. Although data are limited, there is no indication of decline in either the number of populations or abundance within populations.",Population appears to be stable. No indication of decline in either the number of populations or abundance within populations.,Yes
Band-tailed pigeon,Patagioenas fasciata,Bird,Special Concern,12/23/2019,4/1/2021,,The management objective is to maintain the Canadian population at its current size and distribution.,"There is an estimated 43,000 to 300,000 number of mature individuals that can be found in western British Columbia. The Breeding Bird Survey has documented significant long-term declines, with the past three generations declining by about 11.5%. The continental Christmas Bird Counts trend shows relative stability over the long term and an increase over the last decade. It also noted a decline of about 80% over three generations for Canada but this could reflect a population decline or a southward shift in wintering areas. Mineral site surveys show a decline of up to 43.5% over three generations, although small sample sizes and possible site abandonment means this must be considered as a maximum. Overall the weight of evidence indicates an ongoing population decline of Band-tailed Pigeon in Canada.",The weight of evidence from the various surveys indicates an ongoing population decline of Band-tailed Pigeon in Canada.,No
Banff Springs snail,Physella johnsoni,Mollusc,Endangered,2/14/2007,4/1/2018,12/21/2022,"Restore self-sustaining snail populations and habitat within historic range, where and when possible. The Recovery Strategy was amended in Nov 2010. No changes were made to the recovery goals established in 2007.","Populations have been successfully restored to all viable sites within the species historic range (i.e., Kidney Spring and Upper Middle Spring). All restored and original populations of Banff Springs Snail are self-sustaining. ","Data from the monitoring program show that both original and reintroduced populations are self-sustaining, while exhibiting a characteristic oscillating pattern of population increases and decreases both within and among years. Between 2018 and 2022, the population trend was positive for most springs except for Lower Middle Spring and Kidney springs. They are persisting in all 8 viable sites, including the 2 reintroduction sites.",Yes
Basking shark (Pacific population),Cetorhinus maximus,"Fish, marine",Endangered,7/26/2011,4/1/2018,9/13/2018,To see positive growth and promote the long-term viability of a naturally-producing population. ,"The early historic and scientific record for Basking Sharks is limited but consistently describes the Pacific population of Basking Shark as abundant and widely spread, with a minimum historic population of 750 individuals off the coast of British Columbia. At present, Basking Sharks appear infrequently in Canadian Pacific waters. There were 36 confirmed or reliable Basking Shark sightings reported from 1996-2016.",Population trends are unknown.,Insufficient data to determine trends
Bearded owl-clover,Triphysaria versicolor,"Vascular plant, herb",Endangered,8/11/2006,11/1/2011,11/1/2011,"Maintain or enhance the 7 existing populations, increasing smaller ones. Establish 1 experimental population with an average annual population size of at least 300 flowering individuals.","The estimated number of plants is between about 4000 and more than 100 000, reflecting the difficulty of estimating population sizes for this species. The number of plants varies from year to year and trends cannot be determined.","Due to a lack of reliable counts and the sizeable fluctuations in the number of mature individuals, current population trends cannot be determined. ",Insufficient data to determine trends
Bear's-foot sanicle,Sanicula arctopoides,"Vascular Plant, Herb",Threatened,8/11/2006,11/1/2015,11/1/2015,Maintain all 8 existing populations or subpopulations at no less than their current levels of abundance. Restore at least 2 extirpated populations or establish at least 2 new populations.,"When assessed in 2015, the population was estimated at about 2 900 mature individuals in 9 extant subpopulations. Only 1 subpopulation is large. Habitat information suggests there has probably been a decline. The subpopulation at Cattle Point has been lost since 2001.",There has probably been a decline in the size of the total population. One subpopulation has been lost.,No
Beluga whale (St. Lawrence Estuary population),Delphinapterus leucas,Mammal,Endangered,3/27/2012,11/1/2014,8/23/2022,"Increase the population size to 7070 individuals, or 70% of its historical size. In order to have an intermediate population objective, an objective of 1,000 mature individuals was also determined.","Since the early 2000s, the population has declined slowly, with an estimated total population of 889 in 2012. Since then, new data on population health and demography as well as seasonally important habitats have been acquired. In addition, correction factors for photographic and aerial survey estimates have been revised. Updating this information improved the accuracy of the abundance of the SLE beluga population, which was estimated to 1,850 individuals (95% confidence interval: 1,500 to 2,200) in 2022 (DFO 2023).","Until 2007, the estimated trajectories between the two models of population are consistent and indicate a decline. However, they diverge afterwards. The new model shows an upward trajectory rather than a downward trend later, possibly related to the decrease in cancer incidence. The population appears to have stabilized between 2018 and 2022, likely due to the poor survival of calves and pregnant females for more than a decade, which is presumably to have had a negative impact on population growth (DFO 2023).",Yes
Bert's predaceous diving beetle,Sanfilippodytes bertae,Insect,Endangered,2/17/2017,12/1/2022,,To maintain occupancy at the two extant occurrences and any newly-discovered occurrences.,No additional data found since the last assessment. The species is found in 2 extant and 2 historical sites.,"Insufficient data to reliably infer, project, or suspect population trends.",Insufficient data to determine trends
Bicknell's thrush,Catharus bicknelli,Bird,Threatened,7/30/2020,12/1/2022,,"2020 to 2030: To slow the decline in its population while ensuring that no more than 10% of the population is lost, and enssure that no decrease occurs in the species' extent of occurrence throughout its range in Canada. Post-2030: To ensure a positive population trend over 10 years throughout its range in Canada, as well as a positive trend in the species' biological area of occupancy, throughout its range in Canada.","The Canadian population is estimated to be about 21,300-91,000 mature individuals.  There is a continuing decline in the number of mature individuals based on trend estimates. Populations in Quebec and Nova Scotia are predicted to decline. Observations are insufficient in New Brunswick to determine trends.",The population continues to decline overall and is expected to decline by 34.2% over 10 years.,No
Black-footed ferret,Mustela nigripes,Mammal,Extirpated,6/19/2009,11/1/2021,3/7/2023,Establish a wild population of black-footed ferrets that has at least an 80 percent probability of persisting for 20 years.,"The species was reintroduced to Grassland National Park in 2009, with subsequent releases in 2010-2012. Although the reintroduction demonstrated many successes, a concurrent decline observed in the Black-tailed Prairie Dog population as a result of unknown factors led to the suspension of releases in 2013. Intensive monitoring in Grasslands National Park provides strong evidence that Black-footed Ferret no longer exists in the wild in Canada.",Reintroduction was attempted over multiple years and did not result in establishing a Canadian population.,No
Blackstripe topminnow,Fundulus notatus,"Fish, freshwater",Special Concern,10/19/2009,5/1/2012,4/26/2022,"Maintain, or enhance, existing populations and improve the quality and quantity of their associated habitats.",It is difficult to establish viable estimates of population size and distribution in the absence of detailed abundance records.,Further monitoring and assessment should be conducted to refine the extent of the distributions for these species and determine their abundance.,Insufficient data to determine trends
Black-tailed prairie dog,Cynomys ludovicianus,Mammal,Threatened,6/19/2009,11/1/2011,3/14/2018,Ensure the population maintains at least a 90% probability of persistence for the next 100 years.,"A monitoring program has been implemented to measure population densities, area occupied and occurrence of sylvatic plague. The area occupied by Black-tailed Prairie Dogs has fluctuated but all colonies remain active. There is no data on population trends.",Prairie Dog population densities are on target for meeting long term recovery document objectives through active management and monitoring.,Yes
Blanchard's cricket frog (also Northern Cricket Frog),Acris blanchardi,Amphibian,Endangered,2/16/2011,5/1/2024,,Determine if the Blanchard's Cricket Frog is still present in its Canadian range. Determine whether suitable habitat for reintroduction still exists.,Extensive surveys have been conducted at suitable and known Blanchard's Cricket Frog sites. It is extremely unlikely that the species persists in Canada.,No new sightings of this species in Canada have been recorded.,Operational goals
Blanding's turtle (Nova Scotia population),Emydoidea blandingii,Reptile,Endangered,2/8/2012,11/1/2016,6/8/2022,Achieve a self-sustaining population over the current Nova Scotia range. Maintain or increase recruitment and adult survivorship.,"The slow life-history of this long-lived species means that this population has not yet recovered from mortality occurring decades ago. However, recovery efforts have increased the number of young turtles in the main population. Over 2017 and 2022, adult survival increased from 98.56% to 99.8% and 8 nesting females were recruited in Kejimkujik National Park and National Historic Site of Canada.","Adult numbers have continued to decline but recovery efforts have increased the number of young turtles. In Kejimkujik National Park and National Historic Parks of Canada, adult survival and recruitment have increased.",Mixed evidence
Blue whale (Northwest Atlantic population),Balaenoptera musculus,Mammal,Endangered,2/2/2010,5/1/2012,4/18/2016,Reach a population size of 1000 mature individuals.,A total of 16 Blue Whales were sighted during a 2007 Department of Fisheries and Oceans survey. Too few sightings were obtained to derive an estimate of abundance but the low number of sightings is consistent with previous estimates suggesting there are fewer than 250 mature individuals. No trend has been evident. A total of 402 individual blue whales have been identified in the Gulf of St. Lawrence between 1980–2008. It is unclear whether they were mature individuals or not. An 11% yearly increase in sightings was documented in the Gully over the 23-year period.,The population is estimated to contain fewer than 250 mature individuals; however further data on changes in population size is needed to determine if progress has been made.,Insufficient data to determine trends
Blue whale (Pacific population),Balaenoptera musculus,Mammal,Endangered,7/14/2006,5/1/2012,1/19/2022,Maintain or increase the relative proportions of blue whales in Pacific Canadian waters compared to the whole population through to 2016. Attain a long-term viable population of Blue Whales that use Canadian Pacific waters.,There is insufficient data to determine relative proportion of Blue Whales in Canadian Pacific waters compared to the whole Pacific population.,The number of Blue Whales using Canadian Pacific waters has not been estimated. The relative proportion of Blue Whales is yet unknown because of the limited number of observations gathered since commercial whaling ceased.,Insufficient data to determine trends
Bluntnose sixgill shark,Hexanchus griseus,"Fish, marine",Special Concern,4/23/2012,4/1/2007,2/21/2022,Maintain viable populations and prevent a decline to levels at which they would become Threatened or Endangered,The present population size and abundance trends are not known. Further data collection is necessary before an index of relative abundance can be created that will reflect actual abundance.,"More work needs to be completed in order to increase our understanding of the stock structure, habitat, and diet requirements of Bluntnose Sixgill Sharks to ensure the continued conservation of the species.",Insufficient data to determine trends
Bolander's quillwort,Isoetes bolanderi,"Vascular plant, herb",Threatened,2/7/2011,4/1/2006,6/21/2023,"Maintain the three self-sustaining populations (Summit Lake, Upper and Lower Boundary Creek Ponds) and, if feasible, to restore the extirpated population (Carthew Pond).","In 2019, all populations at Summit Lake, Lower and Upper Boundary Ponds are present and stable. Historic records have not been confirmed for a possibly extirpated Carthew population, therefore restoration is not currently feasible or appropriate.",The three existing populations have been maintained.,Yes
Boreal felt lichen (Atlantic population),Erioderma pedicellatum,Lichen,Endangered,6/20/2007,11/1/2014,11/1/2014,Maintain thalli and habitat at sites where Boreal Felt Lichen is known to occur.,Eleven of the 41 occurrences found between 2003 and 2011 are now extirpated. These declines are projected to continue in the future.,Both the number of occurrences and number of individuals are declining. Available habitat has declined between 1988 and 2005.,No
Boreal felt lichen (Boreal population),Erioderma pedicellatum,Lichen,Special Concern,9/8/2010,11/1/2014,12/23/2022,"Maintain and enhance where necessary, self-sustaining populations within the species' current geographic distribution.","Increases are occurring in some areas, and declines in others. Conclusions about trends are complicated by the discovery of many thalli in new areas as a result of increased search effort.",It is not clear whether observed increases at some sites offset the declines observed at other sites.,Mixed evidence
Bowhead whale (Bering-Chukchi-Beaufort population),Balaena mysticetus,Mammal,Special Concern,2/18/2014,4/1/2009,1/31/2022,To maintain a healthy population of bowhead whale in the Canadian Beaufort Sea by protecting bowhead whale and bowhead whale habitat.,Overall indications are that the Bering-Chukchi-Beaufort population of Bowhead Whale continues to increase.,"More recent information, such as the understanding of the short-term positive impacts of climate change and the 2011 ice-based abundance estimate, supports the overall notion that the condition of the Bering-Chukchi-Beaufort population of Bowhead Whale is not as poor as suggested by the information available at the time of either the 2005 or 2009 COSEWIC assessments. Reductions in human activity (primarily oil and gas development) in the Canadian Beaufort Sea are also contributing to substantial progress towards achieving the management objectives.",Yes
Bridle shiner,Notropis bifrenatus,"Fish, freshwater",Special Concern,6/20/2011,5/1/2013,4/12/2017,"Maintain and enhance populations and their habitats, to ensure that viable populations are present throughout the species' current and historic range in Canada. ","Population sizes have not been estimated in Canada, and trends are difficult to determine due, in part, to difficulties in species identification. It has been found at many new locations, likely due increased identification of the species rather than an increase in range. ",Population sizes have not been estimated in Canada. ,Insufficient data to determine trends
Brook floater,Alasmidonta varicosa,Mollusc,Special Concern,3/8/2018,12/1/2022,,"Maintain a viable, self-sustaining Brook Floater population in Canada at current and new locations (including historical sites should they become naturally re-established).","While there appear to be changes in the number of individuals at specific locations, the total number of mature individuals of the Brook Floater since the last report is unknown. There is also scientific uncertainty about the minimum number of mature individuals needed to constitute a viable population or subpopulation.","There may be long-term changes in the quality and extent of habitat, but due to the lack of repeated standardized sampling, it is not possible to estimate a population trend or to determine if there are extreme fluctuations in the number of mature individuals. There are insufficient data to determine trends.",Insufficient data to determine trends
Brook spike-primrose,Epilobium torreyi,"Vascular plant, herb",Endangered,6/21/2013,11/1/2018,11/1/2018,Maintain habitat at Craigflower Meadow site while feasibility of population restoration is assessed. Establish and/or augment populations to increase abundance and distribution 4 if determined to be feasible and biologically appropriate for Brook Spike-primrose.,No individuals have been found at either of the two sites since 1993. Possible viable seeds are in the soil and may germinate when conditions are right.,No individuals have been found at either of the two sites since 1993,Operational goals
Buffalograss,Bouteloua dactyloides,"Vascular plant, herb",Special Concern,11/20/2007,11/1/2011,11/1/2011,Maintain the persistence of all naturally occurring populations in Canada.,"The size of each Buffalograss clone fluctuates with changes in moisture and nutrients, expanding when availability is high and contracting when it is low. The population is now known to be considerably larger than was estimated in 1998, likely reflecting increased survey effort. Whether Buffalograss in Canada has been spreading or declining is unknown.",Population trends in Canada are unknown.,Insufficient data to determine trends
Burrowing owl,Athene cunicularia,Bird,Endangered,5/25/2012,4/1/2017,4/1/2017,"Reverse population declines. Maintain a self-perpetuating, well-distributed population of at least 3000 breeding pairs. Re-establish wild breeding populations in British Columbia and Manitoba.",Populations declined from at least 795 individuals in 2004 to 270 in 2015. A few owls from captive breeding and release programs in British Columbia and Manitoba have been sighted in the wild.,Populations are declining but owls have been reintroduced to previous parts of their range.,Mixed evidence
Butternut,Juglans cinerea,"Vascular plant, tree",Endangered,10/1/2010,4/1/2017,4/1/2017,"Ensure conditions that will allow for the restoration of viable, ecologically functioning, and broadly distributed populations within its current range.","Butternut populations may not be currently viable due to high rates of infection and mortality caused by the butternut canker. Restoration requires disease-free butternut stands or trees. At present, the conditions required to achieve and ensure disease-free populations are unknown.",n/a,Operational goals
Canada warbler,Cardellina canadensis,Bird,Threatened,3/4/2016,11/1/2020,,"Short-term objective: halt the national decline by 2025, while ensuring the population does not decrease more than 10% over this time. Long-term objective: ensure a positive 10-year population trend. Distribution objective: maintain current extent of occurence.","Their population is estimated to be between 2 million and 10.4 million individuals. The Breeding Bird Survey results for Canada indicate there was a 51% population decline between 1970 and 2019, but has seen an improving trend since 2003. There was a 46% cumulative increase between 2009 and 2019, which restored the population to mid-1990s levels. Breeding Bird Survey data from 2009 to 2019 indicate that declines have reversed in Quebec, northern and southern Ontario, northern and eastern Manitoba and Saskatchewan but declines continue in Alberta, central Ontario and the Maritimes.",The population has increased nationally in the last decade. There is no observed decline in the extent of occurrence.,Yes
Caribou (Atlantic-Gaspésie population),Rangifer tarandus,Mammal,Endangered,11/20/2007,11/1/2014,11/1/2014,Establish a population of 150 caribou by 2007 and 175 by 2012 with calves making up 17% of the total population.,"The population declined from an estimated 274 animals (219 mature) in 1983, to 214 (174 mature) in 2007, and to 130 (112 mature) in 2013.",Population size and distribution are declining.,No
Caribou (Boreal population),Rangifer tarandus,Mammal,Threatened,12/22/2020,11/1/2014,5/10/2024,Goal: to achieve self-sustaining local populations in all 51 Boreal Caribou ranges. Objectives: Maintain the current status of the 15 existing self-sustaining local populations. Stabilize and achieve self-sustaining status for the 36 not self-sustaining local populations.,"Despite considerable conservation efforts, range-wide declines have continued. Data is only available for 26 populations of which 8 are increasing, 8 are stable and 10 are declining.",Most local populations are declining.,No
Caribou (Northern Mountain population),Rangifer tarandus caribou,Mammal,Special Concern,5/10/2012,5/1/2014,5/1/2002,"Prevent the Northern Mountain population from becoming Threatened or Endangered by maintaining and recovering herds, as well as their preserving their natural habitat.","Forty-five subpopulations range from west-central British Columbia to the Yukon and western Northwest Territories. Numbers in Canada are about 45 000 adults. There is little long-term trend information, and many current estimates are based on survey data more than 5 years old. Two subpopulations are thought to be increasing, 7 are stable and 9 are declining. The condition of the remaining 27 subpopulations is unknown. The 2 largest subpopulations, comprising 26 to 29% of the estimated population, are thought to be stable. All stable or increasing subpopulations are located in the northern part of the range, whereas 9 in the southern part of the range have declined by 26% since the last assessment. ","Northern herds are stable or increasing, while southern herds are declining. Survey data are dated and incomplete.",Mixed evidence
Carmine shiner,Notropis percobromus,"Fish, freshwater",Threatened,10/24/2013,4/1/2018,7/22/2022,"Maintain populations at their current abundance and distribution within the Whitemouth, Birch and Winnipeg river systems.","There is no evidence to date that populations have suffered any serious decline in abundance or distribution over time. However, there is a projected decline in population over the next 10 years. The COSEWIC status changed from Threatened in 2006 to Endangered in 2018.",The population appears to be stable.,Yes
Chestnut-collared longspur,Calcarius ornatus,Bird,Endangered,11/24/2017,11/1/2019,11/1/2019,The population and distribution objectives for the Chestnut-collared Longspur are to: 1) Ensure that the Breeding Bird Survey (BBS) trend  for the Canadian population is either stable or increasing in the next 15 years (2016-2030). 2)  Ensure that the population size and distribution of the Chestnut-collared Longspur is at or above mean abundance levels found during the 1980–1989 time period in each of the prairie provinces by 2045.,Canadian population estimate for 2019 is approximately 680 000 mature individuals with a range of uncertainty of 360 000 to 1.2 million. Canadian long-term population trend from 1970-2017 is estimated at -6.6% per year for a cumulative decrease of 96%. Canadian short-term population trend from 2007-2017 is estimated at -7.3% per year for a cumulative total decrease of 52.9%.,Short-term trends in Canada show accelerating declines. The population trend has not stabilized.,No
Coastal wood fern,Dryopteris arguta,"Vascular plant, fern",Special Concern,8/11/2011,4/1/2021,11/1/2001,"The long-term management goal is to maintain all known populations at no less than their current size and to maintain the species' current distribution and area of occupancy in British Columbia. The management objectives are: (1) to establish stewardship of all known populations; (2) to assess the extent of the main threats (housing development/habitat conversion, recreational activities, and invasive alien plants) to the populations; (3) to clarify the distribution of the coastal wood fern in British Columbia; (4) to increase public awareness of the existence and conservation value of the coastal wood fern in areas with suitable habitat; and (5) to address knowledge gaps that prevent effective management of coastal wood fern (e.g., determine population trends, extent of occurrence, habitat attributes, type of reproduction, dispersal capabilities, genetic composition, significance of threats and natural disturbance) to ensure that populations remain at self-sustaining levels.","In Canada, Coastal Wood Fern is limited to Denman and Hornby islands and several small islands in the Ballenas-Winchelsea group off the coast of Nanoose. There is one subpopulation on southeastern Vancouver Island. In 2018, the Canadian population was between 10,445 to 16,780 crowns or mature individuals. A count in 2007 for eight of the subpopulations observed 5673 plants (compared to 7830 for the same subpopulations counted in 2018). The difference in counts between years is due to a difference in counting techniques. Habitat destruction was not observed at any of the known sites and the current area occupied is similar to previous observations. ",No significant increase or decrease has been inferred since the 2007 survey.,Yes
Coastrange sculpin (Cultus population) (also cultus pygmy sculpin),Cottus aleuticus,"Fish, freshwater",Threatened,10/4/2007,11/1/2019,3/8/2023,"Recovery goal: Ensure the long-term viability of the population in the wild. Objectives: 1. Foster awareness of Cultus pygmy sculpin and its conservation status. Encourage active local involvement in stewardship and habitat protection. 2. Maintain, and where possible enhance, the ecological integrity of habitat for Cultus pygmy sculpin. 3. Increase scientific understanding of Cultus pygmy sculpin through additional investigation of its natural history, critical habitat and threats to its persistence.",Abundance and trends are unknown.,"Species data has been limited to bycatch from salmon trawl surveys or periodic minnow trapping which provide catch-per-unit-effort results; no firm conclusions can be drawn on abundance based on limited sampling data. Abundance is not a performance measure for recovery objectives, therefore has not been a focus for recovery activities. Recovery objectives are not based on abundance trends, therefore analyses have not been made. There are insufficient data to determine trends.",Operational goals
Cobblestone tiger beetle,Cicindela marginipennis,Insect,Endangered,7/23/2013,4/1/2021,11/1/2008,Maintain the current distribution at all eight known sites. Quantification of population objectives for this species is not possible at this time.,"There are 7 subpopulations found in New Brunswick, with a minimum of 37 sites in Canada. It is estimated that there is 11,093 to 14,333 individuals. There are insufficient data to estimate population trends. The four Grand Lake Complex sites show a general pattern of high subpopulations between 2003 and 2005, relatively low populations in 2013, 2015 and 2016 and relatively high populations in 2018 and 2019.",There is insufficient data to estimate population trends in Canada.,Insufficient data to determine trends
Coeur d'Alene salamander,Plethodon idahoensis,Amphibian,Special Concern,2/3/2017,4/1/2021,11/1/2007,Maintain a stable population across its distribution in British Columbia.,There has been no effort made to determine population size or trends. Detection rates can be extremely variable between surveys which makes any estimate of population size difficult. Population trends and fluctuations are unknown.,There is insufficient information to determine population trends.,Insufficient data to determine trends
Columbia sculpin,Cottus hubbsi,"Fish, freshwater",Special Concern,1/24/2012,11/1/2019,9/21/2022,"Management goal: Ensure long-term viability of this species across its extant distribution in the wild. Management objectives: 1. Maintain self-sustaining populations of Columbia sculpin throughout its natural range in Canada. 2. Maintain, and where possible enhance the ecological integrity of habitat for Columbia sculpin. 3. Increase scientific understanding of Columbia sculpin through additional investigation of its natural history, habitat requirements and threats to its persistence. 4. Foster awareness of Columbia sculpin and its conservation status. ",Abundance data are scarce and mostly anecdotal. Most subpopulations in large Columbia River tributaries are assumed to be stable or declined slightly. Trends are unknown.,"Existing data on abundance are scarce and mostly anecdotal, and population fluctuations and trends cannot be quantified due to lack of a time-series of comparable population estimates. However, a decline in numbers at some of the known sites in the Similkameen system is inferred from changes in distribution due to habitat loss. Sub-populations in the Columbia River and its tributaries appear to be stable or have declined slightly, but are not being monitored.",Operational goals
